Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Ike Anigbogu,IND,"C,Flx",540,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Austin,(N/A),"C,Flx",541,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barnes,(N/A),"SG,SF,Flx",542,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Barrett,(N/A),"PG,Flx",543,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Blakeney,(N/A),"PG,Flx",544,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Edwards,(N/A),"SF,Flx",545,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lydon,(N/A),"PF,Flx",546,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelvin Mack,(N/A),"PG,Flx",547,SAS,SAS,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Robinson,(N/A),"SG,SF,Flx",548,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathon Simmons,(N/A),"SG,SF,Flx",549,NYK,NYK,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Bowen II,IND,"SG,Flx",550,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
MarShon Brooks,CHI,"SG,SF,Flx",551,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnoldas Kulboka,CHA,"SF,Flx",552,CHI,CHI,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
David Michineau,LAC,"PG,Flx",553,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaron Blossomgame,(N/A),"SF,Flx",554,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Harris,(N/A),"PG,SG,Flx",555,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jemerrio Jones,(N/A),"SG,Flx",556,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Selden Jr.,(N/A),"SG,Flx",557,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Wade Baldwin IV,IND,"PG,Flx",558,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Berry II,LAL,"PG,Flx",559,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Yante Maten,BOS,"SF,Flx",560,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
