Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Nikola Jokic,DEN,"PF,C,Flx",1,DEN,DEN,,821,58.64,100%,0%,14,134,249,14,65,79,347,40,118,116,26,13,55
Damian Lillard,POR,"PG,Flx",2,SAC,SAC,,760.5,63.38,100%,0.10%,12,149,299,69,88,96,455,8,59,110,11,3,40
Trae Young,ATL,"PG,Flx",3,BOS,BOS,,607.5,55.23,100%,0%,11,97,221,36,128,145,358,5,35,129,12,0,58
James Harden,HOU,"PG,SG,SF,Flx",4,SAC,SAC,,597,54.27,100%,0%,11,88,219,37,104,115,317,12,73,76,17,13,41
John Collins,ATL,"PF,C,Flx",5,DET,DET,,594.5,45.73,99%,0%,13,132,202,14,43,50,321,42,103,18,7,13,23
Bradley Beal,WAS,"SG,Flx",6,WAS,WAS,,589,49.08,99%,-0.10%,12,143,288,33,97,113,416,9,38,69,14,7,37
Domantas Sabonis,IND,"PF,C,Flx",7,ATL,ATL,,586.5,45.12,100%,0%,13,99,175,3,52,71,253,28,117,85,6,4,39
Bam Adebayo,MIA,"PF,C,Flx",8,BOS,BOS,,578,44.46,100%,0%,13,85,153,0,32,47,202,35,102,77,17,15,32
Russell Westbrook,HOU,"PG,Flx",9,NYK,NYK,,573.5,57.35,99%,-0.10%,10,143,270,4,56,67,346,21,65,73,19,4,45
LeBron James,LAL,"PG,SF,PF,Flx",10,CHA,CHA,,568,51.64,100%,0%,11,97,203,24,36,54,254,11,82,115,14,2,54
Ben Simmons,PHI,"PG,SF,Flx",11,PHI,PHI,,561.5,51.05,99%,-0.10%,11,88,138,0,68,92,244,25,74,89,27,4,50
Nikola Vucevic,ORL,"PF,C,Flx",12,LAC,LAC,,535.5,44.62,99%,-0.20%,12,100,204,20,15,22,235,28,91,58,10,12,24
Anthony Davis,LAL,"PF,C,Flx",13,BOS,BOS,,532,48.36,100%,0.10%,11,98,170,11,70,84,277,17,79,38,18,19,27
Devin Booker,PHO,"PG,SG,Flx",14,HOU,HOU,,523,40.23,100%,0%,13,106,230,29,98,105,339,3,57,79,7,4,53
Karl-Anthony Towns,MIN,"C,Flx",15,BKN,BKN,,516.5,51.65,100%,0%,10,96,187,28,58,74,278,27,71,45,9,12,31
Hassan Whiteside,POR,"C,Flx",16,POR,POR,,515.5,46.86,99%,0%,11,77,110,0,29,47,183,43,116,11,6,36,20
Rudy Gobert,UTA,"C,Flx",17,MIN,MIN,,512.5,42.71,100%,0%,12,74,102,0,49,83,197,48,131,13,5,23,25
Pascal Siakam,TOR,"PF,Flx",18,PHI,PHI,,506,38.92,100%,0.10%,13,108,236,22,56,72,294,14,86,41,14,8,24
Deandre Ayton,PHO,"C,Flx",19,HOU,HOU,,494.5,44.95,100%,0.20%,11,99,182,0,22,28,220,46,83,28,12,17,23
Andre Drummond,CLE,"PF,C,Flx",20,NYK,ATL,,493,49.3,100%,0%,10,82,156,2,29,57,195,59,102,30,15,13,40
Lonzo Ball,NO,"PG,Flx",21,BKN,BKN,,486,40.5,99%,0%,12,47,112,31,8,9,133,12,74,97,17,10,41
DeMar DeRozan,SA,"SG,SF,Flx",22,UTA,UTA,,483,40.25,99%,-0.10%,12,100,196,0,89,102,289,9,68,64,14,0,28
Kawhi Leonard,LAC,"SG,SF,Flx",23,POR,POR,,481.5,53.5,100%,0.10%,9,84,189,25,61,66,254,8,67,55,11,10,19
Kyle Lowry,TOR,"PG,Flx",24,CHI,MIN,,481.5,40.12,98%,-0.10%,12,67,150,25,52,61,211,8,55,90,16,5,35
Fred VanVleet,TOR,"PG,SG,Flx",25,OKC,OKC,,480.5,36.96,99%,0%,13,79,182,37,28,34,223,9,36,86,23,1,26
Jrue Holiday,NO,"PG,SG,SF,Flx",26,CLE,CLE,,480.5,40.04,98%,-0.10%,12,83,183,25,28,40,219,12,39,80,19,15,29
Khris Middleton,MIL,"SG,SF,Flx",27,MIN,MIN,,478.5,47.85,97%,-0.10%,10,87,165,34,36,38,244,6,73,61,7,1,22
Gordon Hayward,BOS,"SG,SF,Flx",28,UTA,UTA,,478,39.83,95%,-0.20%,12,84,170,25,39,44,232,17,83,49,9,6,25
Chris Paul,OKC,"PG,Flx",29,BKN,BKN,,474.5,43.14,98%,0.10%,11,77,154,18,48,54,220,5,53,82,18,3,25
Julius Randle,NY,"PF,C,Flx",30,NOP,NOP,,474,39.5,100%,-0.20%,12,98,209,3,49,66,248,33,101,35,11,9,42
Jonas Valanciunas,MEM,"C,Flx",31,ATL,ATL,,469,39.08,99%,-0.20%,12,74,131,2,21,33,171,37,110,16,10,21,12
Buddy Hield,SAC,"SG,Flx",32,ATL,ATL,,466,38.83,100%,0.10%,12,92,191,58,14,16,256,15,45,44,12,4,22
Elfrid Payton,NY,"PG,Flx",33,LAC,LAC,,463.5,42.14,86%,1.60%,11,59,128,4,15,28,137,16,51,103,25,8,27
Zach LaVine,CHI,"PG,SG,SF,Flx",34,HOU,HOU,,458.5,41.68,100%,0%,11,101,221,32,58,71,292,7,51,53,16,4,39
Jayson Tatum,BOS,"SF,PF,Flx",35,CLE,CLE,,457,45.7,100%,0%,10,93,189,38,44,60,268,11,58,33,14,10,20
Giannis Antetokounmpo,MIL,"SF,PF,C,Flx",36,ORL,ORL,,449.5,64.21,100%,0.10%,7,77,146,5,48,77,207,23,97,55,5,8,33
LaMarcus Aldridge,SA,"PF,C,Flx",37,SAS,SAS,,449.5,37.46,99%,-0.10%,12,87,181,14,42,53,230,23,71,30,11,17,19
Dennis Schroder,OKC,"PG,Flx",38,NOP,NOP,,446,37.17,96%,0.40%,12,98,198,29,51,57,276,4,43,60,8,3,23
Shai Gilgeous-Alexander,OKC,"PG,SG,SF,Flx",39,CHA,CHA,,437,36.42,99%,0%,12,74,166,16,49,65,213,7,78,42,13,17,20
Kristaps Porzingis,DAL,"PF,C,Flx",40,MIL,MIL,,437,39.73,99%,-0.20%,11,76,167,29,58,67,239,14,78,17,12,13,18
Kelly Oubre Jr.,PHO,"SF,Flx",41,PHI,PHI,,432,33.23,100%,0%,13,94,213,33,50,61,271,14,82,15,7,8,20
Spencer Dinwiddie,BKN,"PG,SG,Flx",42,NOP,NOP,,432,36,98%,0%,12,66,165,24,61,79,217,10,44,88,6,3,26
De'Aaron Fox,SAC,"PG,Flx",43,CLE,CLE,,426,35.5,100%,-0.10%,12,88,201,10,60,92,246,3,43,77,20,8,36
Aaron Gordon,ORL,"SF,PF,Flx",44,LAL,LAL,,420.5,35.04,98%,0.30%,12,71,168,18,32,50,192,25,68,50,12,4,15
Donovan Mitchell,UTA,"PG,SG,Flx",45,LAL,LAL,,420,35,100%,0%,12,103,226,34,36,41,276,3,50,51,14,1,44
Jerami Grant,DEN,"SF,PF,Flx",46,MIN,MIN,,417.5,32.12,84%,-2.50%,13,74,151,26,27,30,201,24,43,22,16,19,12
Christian Wood,DET,"PF,C,Flx",47,MIN,MIN,,416,29.71,80%,3.50%,14,76,137,17,54,69,223,27,70,15,10,11,20
Serge Ibaka,TOR,"PF,C,Flx",48,CLE,CLE,,414,34.5,96%,0.30%,12,93,160,26,17,24,229,20,62,19,10,9,19
Andrew Wiggins,GS,"SG,SF,Flx",49,CHI,CHI,,405,36.82,98%,-0.20%,11,87,175,31,38,60,243,6,48,46,13,9,34
Jimmy Butler,MIA,"SG,SF,Flx",50,POR,POR,,404.5,40.45,99%,-0.10%,10,71,142,2,74,83,218,14,48,50,14,4,16
Ja Morant,MEM,"PG,Flx",51,PHX,PHX,,393.5,32.79,99%,-0.10%,12,77,157,5,41,57,200,9,35,89,10,2,34
Larry Nance Jr.,CLE,"PF,C,Flx",52,NYK,NYK,,388.5,35.32,82%,-6.60%,11,66,117,14,12,15,158,25,72,32,8,6,12
Nemanja Bjelica,SAC,"PF,Flx",53,CLE,CLE,,386.5,32.21,86%,2%,12,57,116,27,14,16,155,27,45,44,9,8,16
Dejounte Murray,SA,"PG,Flx",54,CLE,CLE,,385.5,27.54,96%,0.70%,14,59,124,13,19,24,150,13,61,49,22,3,18
Danuel House Jr.,HOU,"SG,SF,Flx",55,PHX,PHX,,384.5,29.58,65%,1.10%,13,51,125,32,18,20,152,15,66,19,23,10,10
D'Angelo Russell,MIN,"PG,SG,Flx",56,MIL,MIL,,382.5,42.5,99%,-0.20%,9,78,177,39,29,33,224,7,32,56,10,2,31
Jarrett Allen,BKN,"PF,C,Flx",57,CLE,CLE,,379,31.58,99%,0%,12,48,80,0,23,38,119,38,77,22,5,22,12
Derrick White,SA,"PG,SG,Flx",58,DAL,DAL,,379,27.07,70%,1.20%,14,54,121,14,44,49,166,9,39,62,8,14,18
Kevin Love,CLE,"PF,C,Flx",59,CHI,CHI,,378.5,37.85,97%,-0.20%,10,67,146,36,15,16,185,8,75,32,8,1,17
Kemba Walker,BOS,"PG,Flx",60,CHA,CHA,,376.5,37.65,99%,0.10%,10,63,165,31,47,54,204,3,42,52,13,4,16
Montrezl Harrell,LAC,"PF,C,Flx",61,SAC,SAC,,374.5,31.21,100%,-0.10%,12,87,153,0,31,49,205,32,52,20,7,16,19
Collin Sexton,CLE,"PG,SG,Flx",62,HOU,HOU,,371,33.73,97%,-0.20%,11,91,192,21,42,45,245,13,19,46,13,3,28
Danilo Gallinari,OKC,"SF,PF,Flx",63,BOS,BOS,,364,33.09,99%,0.30%,11,72,156,30,50,56,224,9,58,24,8,0,15
Goran Dragic,MIA,"PG,SG,Flx",64,ATL,NYK,,358.5,29.88,89%,-0.30%,12,70,155,24,49,61,213,6,31,63,9,0,31
Eric Bledsoe,MIL,"PG,SG,Flx",65,BOS,BOS,,357.5,35.75,99%,-0.20%,10,66,136,10,37,46,179,9,45,61,11,3,30
Tobias Harris,PHI,"SF,PF,Flx",66,ORL,ORL,,357,32.45,98%,-0.50%,11,73,172,23,25,30,194,4,71,34,4,6,13
Kevin Huerter,ATL,"SG,SF,Flx",67,CLE,CLE,,355.5,27.35,85%,0.50%,13,69,164,36,9,12,183,7,46,43,8,6,17
Devonte' Graham,CHA,"PG,SG,Flx",68,UTA,UTA,,354,35.4,90%,0%,10,55,143,30,17,24,157,5,29,81,10,1,25
Markelle Fultz,ORL,"PG,SG,Flx",69,MEM,MEM,,353.5,29.46,87%,1%,12,55,116,8,22,28,140,5,38,75,19,1,25
Bojan Bogdanovic,UTA,"SG,SF,PF,Flx",70,ATL,ATL,,352,29.33,98%,0.10%,12,79,174,44,38,44,240,5,43,28,5,1,24
Reggie Jackson,DET,"PG,SG,Flx",71,DET,DET,,352,29.33,72%,0.80%,12,72,187,30,25,32,199,10,26,64,8,1,22
Josh Hart,NO,"SG,SF,Flx",72,DEN,DEN,,349.5,29.12,72%,1.70%,12,44,93,22,15,17,125,11,78,25,13,7,10
Malcolm Brogdon,IND,"PG,SG,Flx",73,SAS,SAS,,348.5,31.68,99%,-0.10%,11,59,140,13,18,22,149,12,45,76,3,2,25
Dorian Finney-Smith,DAL,"SF,PF,Flx",74,LAC,LAC,,348.5,26.81,45%,-6.90%,13,45,100,24,12,16,126,31,56,27,9,9,15
Monte Morris,DEN,"PG,Flx",75,POR,POR,,347,24.79,33%,-2.10%,14,64,132,19,11,14,158,8,26,62,14,2,12
Shabazz Napier,WAS,"PG,SG,Flx",76,MIA,MIA,,346.5,31.5,48%,-10%,11,38,81,19,24,29,119,12,35,71,15,2,26
Duncan Robinson,MIA,"SG,SF,PF,Flx",77,CHI,CHI,,345.5,26.58,64%,8.40%,13,62,138,60,13,16,197,1,41,31,6,2,16
Zion Williamson,NO,"PF,Flx",78,CHI,CHI,,341,34.1,99%,0.10%,10,83,144,4,51,78,221,35,40,22,7,4,28
Lou Williams,LAC,"PG,SG,Flx",79,BOS,BOS,,340.5,28.38,100%,0.20%,12,70,196,15,59,69,214,6,37,61,7,3,30
Mikal Bridges,PHO,"SG,SF,Flx",80,LAL,LAL,,338.5,26.04,79%,3.50%,13,48,105,15,17,19,128,14,41,32,23,12,15
Marquese Chriss,GS,"PF,C,Flx",81,POR,POR,,338,30.73,68%,10.50%,11,64,101,3,23,31,154,22,52,14,9,18,10
Evan Fournier,ORL,"SG,SF,Flx",82,OKC,OKC,,336,28,95%,0.30%,12,75,170,38,26,30,214,5,28,35,14,3,29
Tim Hardaway Jr.,DAL,"SG,SF,Flx",83,LAC,LAC,,335.5,25.81,76%,3.20%,13,71,164,39,24,27,205,4,36,37,8,0,15
Marcus Smart,BOS,"PG,SG,Flx",84,CLE,CLE,,334,30.36,92%,-0.20%,11,47,120,23,21,25,138,5,44,52,18,7,29
Davis Bertans,WAS,"PF,C,Flx",85,SAC,SAC,,332,27.67,89%,1.20%,12,54,121,37,28,33,173,6,41,25,11,9,13
Joel Embiid,PHI,"PF,C,Flx",86,ORL,ORL,,327.5,40.94,100%,0%,8,52,118,13,51,73,168,25,58,23,6,11,24
Robert Covington,HOU,"SF,PF,C,Flx",87,ORL,ORL,,324,29.45,98%,0.80%,11,50,117,26,12,15,138,13,57,14,16,14,18
Caris LeVert,BKN,"SG,SF,Flx",88,MIL,MIL,,323.5,26.96,94%,0.80%,12,67,163,18,38,47,190,10,27,47,15,3,27
Draymond Green,GS,"PF,C,Flx",89,HOU,HOU,,323,35.89,97%,-0.10%,9,24,57,10,11,14,69,5,53,75,10,8,21
Brandon Ingram,NO,"SG,SF,PF,Flx",90,ATL,NYK,,322,35.78,100%,0%,9,62,138,23,48,54,195,6,36,35,9,5,23
Ish Smith,WAS,"PG,Flx",91,BOS,BOS,,316,26.33,59%,0.30%,12,48,105,8,10,11,114,7,38,61,10,7,12
Will Barton,DEN,"SG,SF,Flx",92,CLE,CLE,,315.5,31.55,92%,-0.20%,10,57,132,22,17,22,153,12,40,39,10,4,14
Jordan Clarkson,UTA,"PG,SG,Flx",93,NOP,NOP,,315,26.25,76%,7.90%,12,78,157,31,17,22,204,9,31,27,6,2,14
T.J. McConnell,IND,"PG,SG,Flx",94,MIA,ATL,,315,24.23,20%,0.90%,13,41,75,0,10,10,92,7,32,72,14,6,16
Mitchell Robinson,NY,"C,Flx",95,CLE,CLE,,314,26.17,96%,0%,12,39,47,0,7,16,85,34,48,9,11,25,6
P.J. Tucker,HOU,"SF,PF,C,Flx",96,SAC,SAC,,310.5,23.88,76%,-2.50%,13,25,71,17,12,12,79,18,61,30,18,6,10
Daniel Theis,BOS,"PF,C,Flx",97,SAC,SAC,,310,28.18,65%,9.90%,11,45,74,7,18,24,115,30,46,21,8,11,10
Jaren Jackson Jr.,MEM,"PF,C,Flx",98,MIL,MIL,,309.5,28.14,100%,0.20%,11,56,134,24,26,37,162,7,46,13,6,29,23
Bruce Brown,DET,"PG,SG,Flx",99,BOS,BOS,,309,25.75,55%,-2.70%,12,41,90,8,19,20,109,14,50,48,10,7,24
Marcus Morris Sr.,LAC,"SF,PF,Flx",100,SAC,SAC,,306.5,27.86,90%,0.60%,11,77,170,27,27,33,208,11,47,10,8,5,21
Torrey Craig,DEN,"SG,SF,Flx",101,CHA,CHA,,306,21.86,13%,1.40%,14,45,89,19,11,16,120,24,56,10,6,14,8
Ricky Rubio,PHO,"PG,Flx",102,CLE,CLE,,304.5,25.38,98%,-0.20%,12,34,93,8,30,37,106,9,30,75,17,1,31
T.J. Warren,IND,"SF,PF,Flx",103,SAS,SAS,,304,30.4,95%,0.90%,10,84,135,6,30,40,204,7,24,12,20,5,7
Taurean Prince,BKN,"SF,PF,Flx",104,CHA,CHA,,302,25.17,84%,-1.20%,12,55,137,27,19,25,156,10,54,22,12,4,19
Tomas Satoransky,CHI,"PG,SG,Flx",105,CLE,CLE,,301.5,27.41,86%,-0.10%,11,45,103,12,19,20,121,13,29,57,13,1,20
CJ McCollum,POR,"PG,SG,Flx",106,DET,DET,,301,30.1,99%,-0.10%,10,81,193,31,12,21,205,3,30,36,5,5,18
Al Horford,PHI,"PF,C,Flx",107,SAS,SAS,,300.5,30.05,96%,-0.80%,10,40,99,17,6,6,103,12,61,35,6,7,8
Dillon Brooks,MEM,"SG,SF,Flx",108,CHA,CHA,,299.5,24.96,81%,-0.90%,12,76,187,20,30,37,202,14,31,23,11,6,23
Seth Curry,DAL,"PG,SG,Flx",109,MIN,MIN,,299,27.18,45%,10.80%,11,59,108,34,14,16,166,4,32,29,6,1,6
Ivica Zubac,LAC,"C,Flx",110,OKC,OKC,,296.5,24.71,63%,7.70%,12,36,60,0,19,26,91,33,60,18,4,13,10
Joe Harris,BKN,"SG,SF,Flx",111,SAS,SAS,,295.5,24.62,82%,0.90%,12,62,125,27,8,11,159,10,47,24,7,2,17
Justin Holiday,IND,"SG,SF,Flx",112,SAS,SAS,,294.5,22.65,33%,1.90%,13,42,83,26,14,19,124,12,32,17,16,12,6
Derrick Favors,NO,"PF,C,Flx",113,PHX,PHX,,293,26.64,94%,0%,11,42,67,0,13,20,97,30,74,14,5,8,16
Luka Doncic,DAL,"PG,SF,Flx",114,GSW,GSW,,291.5,48.58,100%,0%,6,61,133,16,33,51,171,7,44,40,5,2,19
Malik Beasley,MIN,"PG,SG,SF,Flx",115,HOU,HOU,,290.5,22.35,69%,8.30%,13,57,151,28,22,26,164,7,38,27,16,1,18
Landry Shamet,LAC,"PG,Flx",116,DEN,DEN,,286.5,23.88,49%,10%,12,56,116,43,21,24,176,1,21,28,5,3,9
Bogdan Bogdanovic,SAC,"SG,SF,Flx",117,MIN,MIN,,286,23.83,89%,-0.90%,12,62,143,32,19,24,175,5,38,22,8,3,14
Myles Turner,IND,"PF,C,Flx",118,PHI,PHI,,285.5,25.95,98%,0.10%,11,38,85,14,16,19,106,8,62,13,13,17,18
Joe Ingles,UTA,"SG,SF,Flx",119,MIN,CHI,,285.5,23.79,85%,-2.60%,12,28,76,15,10,13,81,3,36,76,10,1,23
Thaddeus Young,CHI,"SF,PF,Flx",120,NOP,NOP,,285.5,25.95,75%,-1%,11,58,111,14,6,11,136,13,50,18,16,6,25
Eric Gordon,HOU,"SG,SF,Flx",121,UTA,UTA,,283.5,25.77,63%,-6.80%,11,61,150,31,42,52,195,1,21,21,10,7,6
Jakob Poeltl,SA,"C,Flx",122,SAC,SAC,,283.5,20.25,44%,-4.20%,14,40,58,0,10,22,90,22,46,22,6,21,10
Maxi Kleber,DAL,"PF,C,Flx",123,MIL,MIL,,282,21.69,52%,-2.80%,13,42,95,17,9,9,110,23,38,13,2,21,5
De'Andre Hunter,ATL,"SF,Flx",124,HOU,HOU,,280,25.45,68%,3.70%,11,52,122,21,18,25,143,8,45,23,14,5,19
Miles Bridges,CHA,"SF,PF,Flx",125,IND,IND,,279,27.9,96%,0.20%,10,60,138,20,24,30,164,20,36,10,7,7,9
Troy Brown Jr.,WAS,"SG,SF,Flx",126,LAL,LAL,,279,23.25,55%,-1.60%,12,43,96,12,15,21,113,8,44,37,14,1,7
Carmelo Anthony,POR,"SF,PF,Flx",127,CHA,CHA,,278,25.27,77%,-2.20%,11,51,148,12,16,18,130,20,66,22,6,3,19
Michael Carter-Williams,ORL,"PG,Flx",128,LAL,MIN,,278,23.17,15%,0.50%,12,35,78,5,25,29,100,12,29,46,14,8,16
Paul George,LAC,"SF,PF,Flx",129,PHX,PHX,,277.5,34.69,99%,0%,8,45,108,17,22,26,129,3,49,36,7,6,17
Brandon Clarke,MEM,"PF,C,Flx",130,LAL,LAL,,277.5,25.23,87%,0.10%,11,57,95,4,18,24,136,17,46,13,10,7,9
Jeremy Lamb,IND,"SG,SF,Flx",131,PHI,PHI,,275.5,21.19,83%,-3.10%,13,61,124,16,15,20,153,5,39,19,13,6,11
Terrence Ross,ORL,"SG,SF,Flx",132,SAC,SAC,,275.5,22.96,71%,2.30%,12,55,162,31,24,29,165,2,38,17,15,7,12
Harrison Barnes,SAC,"SF,PF,Flx",133,MIL,MIL,,274.5,22.88,83%,2.40%,12,51,113,14,27,32,143,13,46,29,3,2,12
Jalen Brunson,DAL,"PG,SG,Flx",134,IND,IND,,273.5,21.04,37%,-9.10%,13,57,117,15,24,27,153,4,30,47,4,1,21
Brook Lopez,MIL,"C,Flx",135,TOR,TOR,,270,27,96%,-0.60%,10,50,105,13,11,17,124,5,28,20,7,28,13
Trevor Ariza,POR,"SG,SF,Flx",136,PHI,PHI,,270,24.55,44%,-1.60%,11,41,81,15,14,15,111,7,43,19,19,4,9
Delon Wright,DAL,"PG,SG,Flx",137,TOR,TOR,,268.5,20.65,58%,-2.40%,13,35,83,9,15,22,94,19,37,52,5,1,16
Ian Mahinmi,WAS,"C,Flx",138,ORL,MIN,,267.5,22.29,19%,0.50%,12,37,71,1,23,31,98,22,55,14,6,14,11
Jaylen Brown,BOS,"SG,SF,Flx",139,CHI,MIN,,266.5,29.61,99%,0.20%,9,74,146,18,24,35,190,8,33,18,9,3,26
Malik Monk,CHA,"PG,SG,Flx",140,PHX,PHX,,266.5,26.65,51%,12%,10,64,134,16,29,34,173,6,30,24,6,7,20
Dewayne Dedmon,ATL,"C,Flx",141,CHA,CHA,,264,26.4,54%,12.90%,10,31,72,6,7,8,75,15,63,8,9,23,16
JJ Redick,NO,"SG,Flx",142,OKC,OKC,,263.5,21.96,87%,5.10%,12,57,122,32,38,41,184,1,22,23,6,2,18
Patty Mills,SA,"PG,Flx",143,POR,POR,,262,18.71,29%,-1.80%,14,54,132,37,18,19,163,7,18,22,10,0,8
Terence Davis,TOR,"SG,Flx",144,BOS,BOS,,261.5,20.12,35%,1.60%,13,48,95,26,7,10,129,14,37,16,7,4,10
Kyle Anderson,MEM,"SG,SF,PF,Flx",145,PHI,PHI,,260,21.67,31%,2.50%,12,37,61,1,9,13,84,11,52,27,11,9,13
Tristan Thompson,CLE,"PF,C,Flx",146,ATL,ATL,,259.5,28.83,80%,-8.40%,9,37,73,4,12,18,90,40,52,16,3,2,13
Langston Galloway,DET,"PG,SG,Flx",147,BKN,BKN,,257,18.36,27%,2.80%,14,51,119,27,7,9,136,10,24,26,10,2,8
OG Anunoby,TOR,"SF,PF,Flx",148,DEN,DEN,,254,19.54,78%,2.30%,13,38,76,10,8,12,94,17,39,15,17,8,12
Derrick Jones Jr.,MIA,"SG,SF,PF,Flx",149,MIN,MIN,,254,19.54,32%,-4%,13,37,66,11,27,33,112,19,33,12,9,9,5
Terry Rozier,CHA,"PG,SG,Flx",150,OKC,OKC,,251,27.89,99%,-0.10%,9,47,122,18,30,31,142,7,46,25,4,3,21
Dwight Howard,LAL,"PF,C,Flx",151,CHA,CHA,,250.5,22.77,69%,-0.30%,11,39,50,0,15,41,93,35,62,4,5,7,12
Gary Trent Jr.,POR,"SG,SF,Flx",152,DEN,DEN,,249,20.75,33%,15.80%,12,50,107,29,10,11,139,7,15,18,12,4,2
Josh Okogie,MIN,"PG,SG,Flx",153,SAS,SAS,,248,22.55,36%,2.90%,11,41,89,5,39,45,126,21,27,21,14,1,15
Trey Lyles,SA,"PF,C,Flx",154,TOR,ATL,,248,17.71,18%,3.50%,14,41,81,16,7,10,105,12,58,6,7,7,8
Kyle Kuzma,LAL,"SF,PF,Flx",155,TOR,TOR,,247,22.45,84%,-2.60%,11,43,95,8,24,32,118,16,47,23,6,5,21
Tyus Jones,MEM,"PG,Flx",156,LAC,LAC,,246,20.5,29%,2.30%,12,47,84,12,4,4,110,2,19,48,8,0,6
DeAndre Jordan,BKN,"C,Flx",157,ATL,NYK,,245.5,30.69,89%,0.60%,8,30,41,0,9,11,69,20,66,15,1,11,15
Damion Lee,GS,"SG,Flx",158,SAC,SAC,,244.5,22.23,49%,-0.50%,11,42,99,19,14,16,117,5,37,28,12,1,15
Michael Porter Jr.,DEN,"SF,Flx",159,LAL,LAL,,243,34.71,81%,-2.20%,7,34,79,16,13,14,97,15,53,10,8,4,6
Cedi Osman,CLE,"SF,PF,Flx",160,NOP,NOP,,242,22,54%,-0.70%,11,44,105,18,5,9,111,5,31,38,9,3,15
Bryn Forbes,SA,"PG,SG,Flx",161,DEN,DEN,,240.5,17.18,35%,3.20%,14,49,113,34,12,17,144,2,15,31,8,0,9
Jeff Teague,ATL,"PG,Flx",162,ATL,UTA,,239.5,18.42,69%,-0.80%,13,28,81,3,22,25,81,6,23,60,13,2,19
Steven Adams,OKC,"C,Flx",163,WAS,WAS,,239,23.9,96%,-0.80%,10,30,64,1,11,16,72,23,44,21,8,12,16
Doug McDermott,IND,"SF,PF,Flx",164,SAS,SAS,,236.5,18.19,16%,0.90%,13,62,114,33,9,12,166,2,24,15,1,0,6
Alec Burks,PHI,"PG,SG,SF,Flx",165,MIN,ORL,,235,29.38,66%,-8.70%,8,38,93,18,34,38,128,6,28,25,6,5,11
Jae Crowder,MIA,"SF,PF,Flx",166,NOP,NOP,,234.5,26.06,74%,13.50%,9,29,69,17,21,24,96,9,49,15,11,1,7
Furkan Korkmaz,PHI,"SG,Flx",167,PHX,PHX,,233.5,21.23,36%,15.10%,11,50,117,31,10,14,141,5,23,19,6,5,11
Chandler Hutchison,CHI,"SG,SF,Flx",168,SAC,SAC,,233,21.18,20%,1.50%,11,47,100,5,21,37,120,15,43,16,12,2,11
Royce O'Neale,UTA,"SF,PF,Flx",169,MIN,MIN,,232.5,19.38,23%,0.70%,12,20,57,12,4,5,56,8,61,31,5,6,13
Kyrie Irving,BKN,"PG,SG,Flx",170,MIN,CHI,,232,46.4,99%,-0.10%,5,53,98,18,26,28,150,6,17,25,6,2,19
Cody Zeller,CHA,"PF,C,Flx",171,CLE,CLE,,232,25.78,68%,-6.90%,9,33,80,0,10,16,76,25,43,22,8,6,8
Thon Maker,DET,"PF,C,Flx",172,SAC,SAC,,229,20.82,39%,18.20%,11,30,58,6,25,35,91,22,35,16,7,10,15
Austin Rivers,HOU,"PG,SG,SF,Flx",173,POR,POR,,229,19.08,19%,-0.90%,12,46,105,24,16,24,132,1,33,15,11,3,6
Garrett Temple,BKN,"SG,SF,Flx",174,ATL,ATL,,227.5,18.96,25%,1.20%,12,40,100,23,8,11,111,4,32,24,7,4,5
Derrick Rose,DET,"PG,SG,Flx",175,NYK,ATL,,226.5,28.31,96%,0.40%,8,56,128,6,21,27,139,4,20,41,6,1,14
Jordan McLaughlin,MIN,"PG,Flx",176,ORL,ORL,,225.5,20.5,17%,1.20%,11,34,67,10,6,11,84,1,14,49,14,2,8
Thomas Bryant,WAS,"C,Flx",177,BOS,BOS,,223.5,27.94,96%,-0.20%,8,43,60,4,16,21,106,14,41,14,1,8,13
Donte DiVincenzo,MIL,"PG,SG,Flx",178,NOP,NOP,,220,24.44,46%,-2.20%,9,36,75,13,7,12,92,14,37,17,11,3,13
Coby White,CHI,"PG,Flx",179,CHI,CHI,,219.5,19.95,61%,4.20%,11,38,116,20,16,20,112,8,29,32,7,1,13
Grant Williams,BOS,"PF,Flx",180,WAS,WAS,,218.5,16.81,23%,2.50%,13,27,47,10,7,9,71,20,27,15,8,12,11
Eric Paschall,GS,"SF,PF,Flx",181,DEN,DEN,,217.5,19.77,57%,-7.50%,11,48,111,3,23,33,122,17,39,18,7,2,17
Nicolo Melli,NO,"PF,Flx",182,DET,DET,,217.5,19.77,24%,10.60%,11,33,67,21,0,2,87,8,38,16,4,9,9
Kelly Olynyk,MIA,"PF,C,Flx",183,MIN,MIN,,217,19.73,40%,2%,11,28,63,10,14,16,80,4,47,23,7,5,8
Rajon Rondo,LAL,"PG,Flx",184,CHA,CHA,,217,19.73,37%,0.70%,11,37,76,12,4,8,90,4,20,54,5,0,20
Jamal Murray,DEN,"PG,SG,Flx",185,PHI,PHI,,216.5,43.3,100%,0.10%,5,56,98,18,15,20,145,1,13,31,2,2,14
Tony Snell,DET,"SG,SF,Flx",186,POR,POR,,213,19.36,13%,1.50%,11,34,84,21,7,7,96,1,20,38,5,3,7
