fr_position,player,fr_2019,fr_2020,fr_2021,fr_2022,fr_2023,fr_2024,fr_rfa,fr_injured,fr_gleague,fr_intl,fr_team,trade_comp,,,,,,,,,fr_team_start2019
SG/SF/PF,Duncan Robinson,1250000,1312500,1378125,,,,,0,0,0,CHI,CHI,,,,,,,,,
3-Feb,Gary Harris,17587500,18466875,19390218.75,,,,,0,0,0,CHI,CHI,,,,,,,,,CHI
3-Mar,Jarrett Culver,5813640,6104280,6395160,8109063,,,2023,0,0,0,CHI,CHI,,,,,,,,,CHI
3-Mar,Miles Bridges,3755400,3934320,5421493,,,,2022,0,0,0,CHI,CHI,,,,,,,,,CHI
3-Mar,Keita Bates-Diop,1416852,1663861,,,,,2021,0,0,0,CHI,CHI,,,,,,,,,CHI
3-Mar,Juancho Hernangomez,3321030,,,,,,,0,0,0,CHI,CHI,,,,,,,,,CHI
4-Mar,Bruno Caboclo,525000,551250,,,,,,0,0,0,CHI,CHI,,,,,,,,,CHI
4-Apr,Zion Williamson,9757440,10245480,10733400,13534817,,,2023,0,0,0,CHI,CHI,,,,,,,,,CHI
4-Apr,Omari Spellman,1897800,1988280,3588845,,,,,0,0,0,CHI,CHI,,,,,,,,,CHI
4-Apr,Maxi Kleber,551250,578812,,,,,,0,0,0,CHI,CHI,,,,,,,,,CHI
PF/C,Ryan Anderson,500000,525000,551250,,,,,0,0,0,CHI,CHI,,,,,,,,,
5-May,Boban Marjanovic,1312500,,,,,,,0,0,0,CHI,CHI,,,,,,,,,CHI
G,Talen Horton-Tucker,1000000,1050000,1102500,,,,2022,0,1,0,CHI,CHI,,,,,,,,,CHI
G,Kyle Guy,900000,945000,992250,,,,2022,0,1,0,CHI,CHI,,,,,,,,,CHI
INTL,Sergio Llull,,,,,,,,0,0,1,CHI,CHI,,,,,,,,,CHI
INTL,Arnoldas Kulboka,,,,,,,,0,0,1,CHI,CHI,,,,,,,,,CHI
INTL,Deividas Sirvydis,,,,,,,,0,0,1,CHI,CHI,,,,,,,,,CHI
PG,Ky Bowman,2000000,,,,,,,0,0,0,CLE,CLE,,,,,,,,,
1-Jan,Dejounte Murray,1676735,,,,,,2020,0,0,0,CLE,CLE,,,,,,,,,CLE
1-Jan,Ricky Rubio,13000000,13650000,14332500,15049125,,,,0,0,0,CLE,CLE,,,,,,,,,CLE
2-Jan,DeAnthony Melton,1416852,,,,,,2020,0,0,0,CLE,CLE,,,,,,,,,CLE
2-Jan,Tomas Satoransky,6500000,6825000,7166250,7524562.5,,,,0,0,0,CLE,CLE,,,,,,,,,CLE
2-Jan,Marcus Smart,8400000,8820000,9261000,,,,,0,0,0,CLE,CLE,,,,,,,,,IND
2-Feb,Kevin Huerter,2636280,2761920,4253357,,,,2022,1,0,0,CLE,CLE,,,,,,,,,CLE
4-Mar,Otto Porter Jr.,12600000,13230000,13891500,,,,,0,0,0,CLE,CLE,,,,,,,,,CLE
4-Mar,Marvin Williams,5512500,,,,,,,0,0,0,CLE,MEM,,,,,,,,,CLE
5-Apr,Serge Ibaka,10000000,10500000,11025000,11576250,,,,0,0,0,CLE,CLE,,,,,,,,,CLE
5-Apr,Cody Zeller,6562500,6890625,7235156.25,,,,,0,0,0,CLE,CLE,,,,,,,,,HOU
5-May,Steven Adams,14883750,15627938,,,,,,0,0,0,CLE,CLE,,,,,,,,,CLE
5-May,Mohamed Bamba,5704920,5976720,7578480,,,,2022,0,0,0,CLE,CLE,,,,,,,,,CLE
5-May,Mitchell Robinson,1559712,1663861,1802057,,,,,0,0,0,CLE,CLE,,,,,,,,,CLE
5-May,JaVale McGee,1929375,2025844,,,,,,0,0,0,CLE,CLE,,,,,,,,,MIA
5-May,Jontay Porter,,,,,,,,1,1,0,CLE,CLE,,,,,,,,,
G,Rodions Kurucs,630000,661500,,,,,2021,0,0,0,CLE,CLE,,,,,,,,,CLE
INTL,Didi Louzada Silva,,,,,,,,0,0,1,CLE,CLE,,,,,,,,,CLE
