R#,player,POS,TEAM,GP,MPG,FG%,FGM,FGA,FT%,FTM,FTA,THREES,PTS,DREB,OREB,TREB,AST,STL,BLK,TO,TOTAL
44,Kemba Walker,PG,BOS,80,33,0.45,8.6,19,0.84,4.6,5.5,3.2,24.9,3.5,0.6,4.1,5.9,1.1,0.4,2.5,5.98
45,Jaren Jackson Jr.,PF,MEM,70,31,0.49,6.3,12.9,0.77,3.4,4.4,1.1,17.1,5.5,1.7,7.2,1.4,1.1,1.8,2.1,5.73
46,Zion Williamson,PF,NOR,70,32,0.5,7,13.9,0.71,4.1,5.8,0.9,19.1,6.3,1.5,7.8,2.7,1.6,0.9,1.9,5.72
47,Al Horford,PF,PHI,70,28,0.5,5.2,10.5,0.86,1.2,1.4,1.1,12.8,5.1,1.8,6.9,3.8,0.9,1.3,1.4,5.52
48,DeAndre Jordan,C,BKN,76,26,0.63,3.8,6,0.71,2.5,3.5,0,10.1,8.1,2.8,10.9,2.1,0.5,1,1.9,5.49
49,Kevon Looney,C,GSW,74,28,0.63,4.5,7.2,0.62,1.3,2.1,0,10.3,4.5,4,8.4,2.4,0.9,1.1,0.9,5.45
50,Danilo Gallinari,PF,OKC,68,30,0.45,6.2,13.8,0.9,5.6,6.2,2.2,20.1,5.6,0.8,6.4,2.3,0.7,0.3,1.7,5.17
51,Victor Oladipo,SG,IND,56,30,0.47,7.6,16.3,0.79,2.9,3.7,2.1,20.2,4.9,0.6,5.5,5.1,1.6,0.3,2.2,5.17
52,Blake Griffin,PF,DET,72,34,0.45,8.2,18.2,0.76,5.6,7.4,2.4,24.4,6.3,1.3,7.7,5.5,0.7,0.4,3.3,5.13
53,Khris Middleton,SF,MIL,76,32,0.45,7.2,16.1,0.85,3,3.6,2.5,19.9,5.7,0.6,6.4,4.6,1.3,0.1,2.4,5.12
54,Trae Young,PG,ATL,78,32,0.43,7.5,17.3,0.85,4.9,5.7,2.4,22.3,3.2,0.9,4,8.9,1,0.2,3.9,5.02
55,Buddy Hield,SG,SAC,80,32,0.46,8,17.5,0.88,2.2,2.5,3.5,21.8,3.9,1.4,5.3,2.6,0.8,0.4,1.8,5.01
56,Enes Kanter,C,BOS,70,26,0.55,5.6,10.2,0.8,2.6,3.2,0.1,13.9,6.6,3,9.6,1.9,0.5,0.4,1.9,4.93
57,Julius Randle,PF,NYK,76,31,0.5,7.1,14.2,0.73,5.2,7.1,1,20.4,6.6,2.1,8.7,3.7,0.7,0.6,2.8,4.9
58,Wendell Carter Jr.,C,CHI,70,29,0.49,5,10.2,0.8,2.4,3,0.1,12.5,6,2.4,8.5,2.2,0.7,1.6,1.7,4.84
59,Robert Covington,PF,MIN,66,33,0.44,4.6,10.4,0.76,1.9,2.5,2.4,13.5,4.7,0.8,5.5,1.3,2,1.3,1.2,4.8
60,Otto Porter Jr.,SF,CHI,76,32,0.48,6.3,13.1,0.83,1.6,1.9,2.1,16.4,4.5,1,5.6,2.5,1.5,0.7,1.3,4.76
