Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FG-,3PTM,FTM,FT-,PTS,OREB,DREB,AST,ST,BLK,TO
Frank Mason III,MIL,"PG,Flx",427,CHA,CHA,,12.25,3.06,2%,0%,4,6,1,2,2,5,1,1,5,1,0,1
Dewan Hernandez,TOR,"C,Flx",428,WSH,WSH,,11,2.75,3%,-0.10%,4,4,0,2,0,4,2,5,0,1,0,1
Johnathan Motley,LAC,"SF,Flx",429,FA,FA,,10.75,2.69,2%,-0.10%,4,2,1,0,0,3,1,1,3,3,0,3
Stanley Johnson,TOR,"SG,SF,Flx",430,FA,FA,,9.5,1.9,7%,-0.20%,5,6,1,0,0,7,2,5,0,1,0,4
Melvin Frazier,ORL,"SF,Flx",431,PHX,PHX,,9.25,1.54,2%,0%,6,7,2,0,0,8,1,1,1,0,0,0
Sekou Doumbouya,DET,"SF,PF,Flx",432,POR,POR,,9,1.5,19%,-0.10%,6,7,0,1,2,9,0,4,0,1,0,1
Caleb Swanigan,SAC,"PF,C,Flx",433,FA,FA,,9,1.8,2%,0%,5,1,0,1,1,3,1,4,0,1,2,4
Shamorie Ponds,TOR,"PG,Flx",434,FA,FA,,9,3,1%,-0.10%,3,2,0,0,0,4,0,1,2,0,1,0
Josh Magette,ORL,"PG,Flx",435,FA,FA,,9,3,0%,0%,3,4,0,1,1,5,1,2,2,2,0,3
Udonis Haslem,MIA,"PF,Flx",436,FA,FA,,8.75,4.38,0%,0%,2,0,0,3,1,5,0,3,0,0,0,0
Jarrell Brantley,UTA,"PF,Flx",437,NJN,NJN,,8.5,4.25,2%,0%,2,0,0,0,0,0,0,4,1,0,2,1
Devon Hall,(N/A),"SG,Flx",438,HOU,HOU,,8.25,1.65,1%,-0.10%,5,4,0,3,1,5,0,1,3,0,0,1
Nigel Williams-Goss,UTA,"PG,Flx",439,POR,POR,,6.75,0.96,1%,-0.10%,7,5,0,2,0,2,1,1,2,0,1,1
Dean Wade,CLE,"PG,Flx",440,FA,FA,,6.5,2.17,0%,-0.10%,3,1,1,0,0,3,0,2,0,1,0,0
Max Strus,CHI,"SG,Flx",441,FA,FA,,6.25,3.12,0%,0%,2,1,0,1,0,5,1,0,0,0,0,0
Vlatko Cancar,DEN,"SF,Flx",442,TOR,TOR,,5.25,2.62,3%,0%,2,1,0,2,0,2,1,0,1,0,0,0
DaQuan Jeffries,SAC,"PG,Flx",443,FA,FA,,4.75,2.38,0%,0%,2,0,0,0,0,2,1,0,1,0,0,0
Henry Ellenson,BKN,"PF,Flx",444,ATL,ATL,,4.5,1.5,1%,0%,3,4,0,0,0,2,2,2,0,0,0,0
Oshae Brissett,TOR,"PF,Flx",445,FA,FA,,4.5,0.9,0%,0%,5,2,1,0,0,3,0,1,1,1,0,2
Talen Horton-Tucker,LAL,"SF,Flx",446,ORL,ORL,,4,2,8%,-0.10%,2,1,0,0,0,0,0,0,2,1,0,0
Naz Reid,MIN,"C,Flx",447,MIN,MIN,,4,2,5%,-0.10%,2,1,1,0,0,3,0,1,0,0,0,0
Zylan Cheatham,NO,"SF,Flx",448,FA,FA,,4,2,1%,-0.10%,2,3,0,0,0,2,0,3,1,0,0,1
Jalen McDaniels,CHA,"PF,Flx",449,NYK,NYK,,3.75,1.88,2%,-0.10%,2,3,0,0,0,4,1,0,0,0,0,0
Brian Bowen II,IND,"SG,Flx",450,FA,FA,,3.5,1.17,1%,0%,3,3,0,0,0,2,0,1,0,0,1,0
Jarred Vanderbilt,DEN,"SF,Flx",451,LAC,LAC,,2.5,0.83,5%,-0.10%,3,0,0,0,0,0,0,2,1,0,0,1
Justin Patton,OKC,"C,Flx",452,FA,FA,,2,1,2%,0%,2,2,0,0,0,2,0,2,0,0,0,1
Daryl Macon,MIA,"PG,Flx",453,FA,FA,,2,0.5,0%,0%,4,2,1,0,0,3,0,0,1,0,0,2
Josh Gray,NO,"PG,Flx",454,FA,FA,,1.75,0.88,0%,-0.10%,2,1,0,0,0,2,1,1,2,0,0,5
Kostas Antetokounmpo,LAL,"SF,PF,Flx",455,CHA,CHA,,1,0.5,6%,-0.20%,2,0,0,0,0,0,0,1,0,0,0,0
Jonah Bolden,PHI,"PF,Flx",456,DAL,DAL,,1,0.5,5%,-0.10%,2,0,0,0,2,2,0,0,0,1,0,1
Juwan Morgan,UTA,"PF,Flx",457,FA,FA,,1,0.33,0%,0%,3,0,0,0,0,0,0,2,0,0,0,1
Stanton Kidd,(N/A),"PF,Flx",458,FA,FA,,1,0.25,0%,0%,4,3,0,0,0,0,0,3,1,0,0,2
Khyri Thomas,DET,"SG,Flx",459,DAL,DAL,,0.75,0.38,3%,0%,2,0,0,1,1,1,0,0,0,0,0,0
Jordan Bone,DET,"PG,Flx",460,MEM,MEM,,0.5,0.17,4%,0%,3,3,0,0,0,4,0,0,0,0,0,2
Zach Norvell Jr.,(N/A),"SG,Flx",461,FA,FA,,0.5,0.25,3%,-0.20%,2,1,0,0,0,0,0,1,0,0,0,0
Zion Williamson,NO,"PF,Flx",462,LAC,LAC,,0,0,99%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Victor Oladipo,IND,"PG,SG,Flx",463,CHI,CHI,,0,0,96%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Jusuf Nurkic,POR,"C,Flx",464,ORL,ORL,,0,0,56%,-0.40%,0,0,0,0,0,0,0,0,0,0,0,0
Klay Thompson,GS,"SG,SF,Flx",465,CHI,CHI,,0,0,49%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Durant,BKN,"SF,PF,Flx",466,PHI,PHI,,0,0,46%,0%,0,0,0,0,0,0,0,0,0,0,0,0
DeMarcus Cousins,LAL,"PF,C,Flx",467,POR,POR,,0,0,45%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
John Wall,WAS,"PG,Flx",468,BOS,BOS,,0,0,37%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Bol Bol,DEN,"C,Flx",469,HOU,HOU,,0,0,23%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Josh Jackson,MEM,"SG,SF,Flx",470,ATL,ATL,,0,0,19%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Windler,CLE,"SF,Flx",471,MEM,MEM,,0,0,15%,-0.20%,0,0,0,0,0,0,0,0,0,0,0,0
Dion Waiters,MIA,"SG,SF,Flx",472,MIL,MIL,,0,0,15%,-0.30%,0,0,0,0,0,0,0,0,0,0,0,0
Zhaire Smith,PHI,"SG,Flx",473,PHI,PHI,,0,0,14%,-0.20%,0,0,0,0,0,0,0,0,0,0,0,0
Chuma Okeke,ORL,"PF,Flx",474,CHA,CHA,,0,0,14%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Luka Samanic,SA,"PF,Flx",475,SAS,SAS,,0,0,12%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Bullock,NY,"SG,SF,Flx",476,CHA,CHA,,0,0,10%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Andre Iguodala,MEM,"SG,SF,Flx",477,FA,FA,,0,0,10%,-0.20%,0,0,0,0,0,0,0,0,0,0,0,0
Alen Smailagic,GS,"PF,Flx",478,SAC,SAC,,0,0,8%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Andre Roberson,OKC,"SG,SF,Flx",479,PHX,PHX,,0,0,6%,-0.20%,0,0,0,0,0,0,0,0,0,0,0,0
KZ Okpala,MIA,"SF,Flx",480,NJN,NJN,,0,0,6%,-0.10%,3,0,0,0,0,0,0,1,0,0,0,1
Kyle Guy,SAC,"PG,Flx",481,OKC,OKC,,0,0,6%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Rabb,NY,"PF,Flx",482,DET,DET,,0,0,5%,-0.20%,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Lecque,PHO,"PG,Flx",483,DET,DET,,0,0,5%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Green,HOU,"SG,SF,Flx",484,MEM,MEM,,0,0,5%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Roby,DAL,"PF,Flx",485,ORL,ORL,,0,0,4%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Mirotic,(N/A),"SF,PF,Flx",486,FA,FA,,0,0,4%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Didi Louzada Silva,NO,"SF,Flx",487,OKC,OKC,,0,0,3%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
John Konchar,MEM,"SG,Flx",488,NOP,NOP,,0,0,3%,-0.10%,1,0,0,0,0,0,0,0,0,0,0,0
