Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FG-,3PTM,FTM,FT-,PTS,OREB,DREB,AST,ST,BLK,TO
Jimmer Fredette,(N/A),"PG,SG,Flx",953,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Joel Freeland,(N/A),"PF,C,Flx",954,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Gabriel,(N/A),"SF,Flx",955,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Gaddy,(N/A),"PG,Flx",956,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jakeenan Gant,(N/A),"SG,Flx",957,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Garbajosa,TOR,"SF,PF,C,Flx",958,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Patricio Garino,(N/A),"SG,Flx",959,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Garnett,(N/A),"PF,C,Flx",960,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kaiser Gates,(N/A),"SF,Flx",961,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Michael Gbinije,(N/A),"SF,Flx",962,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Alonzo Gee,DEN,"SG,SF,Flx",963,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Georges-Hunt,BOS,"SG,Flx",964,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Gibson,(N/A),"PG,SG,Flx",965,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
James Gist,SA,"SF,PF,Flx",966,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Drew Gooden,WAS,"PF,C,Flx",967,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Vernon Goodridge,(N/A),"PF,Flx",968,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Archie Goodwin,POR,"PG,SG,Flx",969,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Danny Granger,(N/A),"SF,Flx",970,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Donte Grantham,(N/A),"SG,Flx",971,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Rob Gray,HOU,"PG,Flx",972,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Taj Gray,(N/A),"SF,PF,Flx",973,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Erick Green,UTA,"PG,SG,Flx",974,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Willie Green,(N/A),"SG,Flx",975,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Eric Griffin,UTA,"SF,Flx",976,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Gutierrez,(N/A),"PG,Flx",977,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Haas,(N/A),"C,Flx",978,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Haislip,SA,"PF,Flx",979,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Donta Hall,(N/A),"SF,Flx",980,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mike Hall,WAS,"SF,PF,Flx",981,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Hamilton,CLE,"SG,Flx",982,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Hamilton,DET,"C,Flx",983,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Justin Hamilton,(N/A),"PF,C,Flx",984,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Hammons,MIA,"C,Flx",985,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Hansbrough,(N/A),"PF,C,Flx",986,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Anfernee Hardaway,MIA,"PG,SG,SF,PF,Flx",987,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Demonte Harper,(N/A),"PG,SG,Flx",988,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Elias Harris,LAL,"SF,PF,Flx",989,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jason Hart,MIN,"PG,Flx",990,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Hawes,(N/A),"PF,C,Flx",991,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nigel Hayes,SAC,"PF,Flx",992,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Luther Head,SAC,"PG,SG,Flx",993,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Hearn,(N/A),"SG,Flx",994,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Henderson,PHI,"SG,SF,Flx",995,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Myke Henry,(N/A),"SF,Flx",996,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Hicks,(N/A),"PF,Flx",997,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Haywood Highsmith,(N/A),"SG,Flx",998,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed Hill,(N/A),"SG,Flx",999,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Hill,(N/A),"PF,C,Flx",1000,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Amir Hinton,(N/A),"PG,Flx",1001,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
John Holland,CLE,"SG,Flx",1002,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Aric Holman,(N/A),"PF,Flx",1003,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Holmes,(N/A),"PF,Flx",1004,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Daulton Hommes,(N/A),"SF,Flx",1005,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Honeycutt,HOU,"SF,Flx",1006,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Scotty Hopson,OKC,"SG,Flx",1007,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Richard Howell,(N/A),"PF,Flx",1008,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Humphries,(N/A),"PF,Flx",1009,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kris Humphries,(N/A),"PF,C,Flx",1010,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
R.J. Hunter,(N/A),"SG,Flx",1011,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mile Ilic,NO,"C,Flx",1012,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Damien Inglis,NY,"SF,Flx",1013,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ike Iroegbu,(N/A),"SG,Flx",1014,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Jack,NO,"PG,SG,Flx",1015,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jackson,(N/A),"PG,Flx",1016,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Jackson,DAL,"PG,Flx",1017,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Damion James,WAS,"SF,Flx",1018,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Dominic James,(N/A),"PG,SG,Flx",1019,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Al Jefferson,(N/A),"PF,C,Flx",1020,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Richard Jefferson,(N/A),"SG,SF,Flx",1021,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
John Jenkins,(N/A),"SG,SF,Flx",1022,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Jennings,MIL,"PG,Flx",1023,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Yi Jianlian,(N/A),"PF,C,Flx",1024,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
DerMarr Johnson,(N/A),"SG,SF,Flx",1025,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Johnson,CHI,"SF,Flx",1026,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nick Johnson,SA,"SG,Flx",1027,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Darius Johnson-Odom,MIN,"SG,Flx",1028,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Dominique Jones,DAL,"PG,SG,Flx",1029,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Perry Jones,(N/A),"SF,PF,Flx",1030,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Terrence Jones,HOU,"SF,PF,Flx",1031,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Myck Kabongo,SA,"PG,Flx",1032,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Kalinic,(N/A),"SF,Flx",1033,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chris Kaman,(N/A),"PF,C,Flx",1034,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jason Kapono,GS,"SG,SF,Flx",1035,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tre Kelley,(N/A),"PG,Flx",1036,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Kennedy,(N/A),"SG,SF,Flx",1037,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Sean Kilpatrick,(N/A),"PG,SG,Flx",1038,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Kirilenko,PHI,"SF,PF,Flx",1039,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Linas Kleiza,TOR,"SF,Flx",1040,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Adam Koch,(N/A),"SG,SF,Flx",1041,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bronson Koenig,(N/A),"SG,Flx",1042,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Yaroslav Korolev,LAC,"SF,PF,Flx",1043,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
David Kramer,(N/A),"PG,Flx",1044,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Viacheslav Kravtsov,PHO,"C,Flx",1045,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mindaugas Kuzminskas,NY,"SF,PF,Flx",1046,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Michale Kyser,(N/A),"PF,Flx",1047,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Lacey,(N/A),"PG,Flx",1048,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Laprovittola,SA,"PG,Flx",1049,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Terry Larrier,(N/A),"PF,Flx",1050,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Joffrey Lauvergne,(N/A),"PF,C,Flx",1051,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ty Lawson,(N/A),"PG,Flx",1052,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Lee,MIA,"C,Flx",1053,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Dwight Lewis,(N/A),"SG,Flx",1054,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Liggins,MIA,"SG,SF,Flx",1055,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Scott Machado,LAL,"PG,SG,Flx",1056,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Matur Maker,(N/A),"C,Flx",1057,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Devyn Marble,(N/A),"SG,SF,Flx",1058,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Shawn Marion,(N/A),"SG,SF,Flx",1059,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cartier Martin,(N/A),"SG,SF,Flx",1060,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jeremiah Martin,(N/A),"PG,Flx",1061,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kenyon Martin,MIL,"PF,C,Flx",1062,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Roger Mason Jr.,SAC,"SG,Flx",1063,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
CJ Massinburg,(N/A),"PG,Flx",1064,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mangok Mathiang,CHA,"PF,C,Flx",1065,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
O.J. Mayo,(N/A),"PG,SG,Flx",1066,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
James Michael McAdoo,PHI,"PF,Flx",1067,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tahjere McCall,(N/A),"SG,Flx",1068,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Erik McCree,UTA,"SF,Flx",1069,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chris McCullough,DET,"PF,Flx",1070,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
K.J. McDaniels,(N/A),"SF,Flx",1071,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
William McDowell-White,(N/A),"SG,Flx",1072,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mitch McGary,(N/A),"PF,C,Flx",1073,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Josh McRoberts,DAL,"PF,C,Flx",1074,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jodie Meeks,(N/A),"SG,Flx",1075,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Fab Melo,DAL,"C,Flx",1076,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Eric Mika,(N/A),"C,Flx",1077,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Miles,(N/A),"SF,Flx",1078,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Darko Milicic,BOS,"C,Flx",1079,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mike Miller,(N/A),"SG,SF,Flx",1080,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Millsap,(N/A),"SG,SF,Flx",1081,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nick Minnerath,CLE,"PF,Flx",1082,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Mitchell,(N/A),"PG,SG,Flx",1083,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Luis Montero,DET,"SF,Flx",1084,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Matt Mooney,(N/A),"PG,Flx",1085,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ben Moore,(N/A),"SF,Flx",1086,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Doral Moore,(N/A),"C,Flx",1087,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Morgan,MEM,"SG,Flx",1088,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Darius Morris,NO,"PG,SG,Flx",1089,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Morris,MIL,"SG,Flx",1090,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brock Motum,(N/A),"PF,Flx",1091,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Timofey Mozgov,(N/A),"C,Flx",1092,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Shabazz Muhammad,MIL,"SG,SF,Flx",1093,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mychal Mulder,(N/A),"PG,Flx",1094,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Byron Mullens,(N/A),"PF,C,Flx",1095,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Murphy,(N/A),"SG,Flx",1096,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Hamady Ndiaye,(N/A),"C,Flx",1097,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Gary Neal,(N/A),"PG,SG,Flx",1098,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jameer Nelson,(N/A),"PG,Flx",1099,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Nelson,(N/A),"SF,PF,Flx",1100,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Luke Nevill,IND,"C,Flx",1101,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Landry Nnoko,(N/A),"C,Flx",1102,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Andres Nocioni,PHI,"SF,PF,Flx",1103,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Steve Novak,MIL,"SF,PF,Flx",1104,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
JJ O'Brien,(N/A),"SF,Flx",1105,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Johnny O'Bryant III,NY,"PF,Flx",1106,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lukasz Obrzut,IND,"C,Flx",1107,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Ochefu,BOS,"C,Flx",1108,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Greg Oden,(N/A),"C,Flx",1109,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Norense Odiase,(N/A),"C,Flx",1110,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lamar Odom,NY,"SF,PF,Flx",1111,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Emeka Okafor,PHI,"C,Flx",1112,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mehmet Okur,POR,"C,Flx",1113,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nuni Omot,(N/A),"SF,Flx",1114,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Arinze Onuaku,ORL,"PF,Flx",1115,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Romero Osby,ORL,"SF,PF,Flx",1116,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Yakuba Ouattara,BKN,"SG,Flx",1117,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bo Outlaw,ORL,"PF,Flx",1118,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Travis Outlaw,(N/A),"SF,PF,Flx",1119,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tariq Owens,(N/A),"PF,Flx",1120,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Paige,(N/A),"PG,Flx",1121,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
James Palmer Jr.,(N/A),"SG,Flx",1122,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Palmer,WAS,"SG,SF,Flx",1123,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bubu Palo,(N/A),"PG,Flx",1124,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Georgios Papagiannis,POR,"C,Flx",1125,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kostas Papanikolaou,DEN,"SF,PF,Flx",1126,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Pekovic,MIN,"C,Flx",1127,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kleon Penn,(N/A),"C,Flx",1128,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Josh Perkins,(N/A),"PG,Flx",1129,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
London Perrantes,(N/A),"PG,Flx",1130,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lamar Peters,(N/A),"PG,Flx",1131,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tarik Phillip,(N/A),"PG,Flx",1132,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mickael Pietrus,(N/A),"SG,SF,Flx",1133,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kavion Pippen,(N/A),"C,Flx",1134,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Plumlee,(N/A),"C,Flx",1135,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
James Posey,IND,"SG,SF,Flx",1136,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Price,PHO,"PG,Flx",1137,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Prigioni,(N/A),"PG,SG,Flx",1138,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tim Quarterman,HOU,"PG,Flx",1139,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chris Quinn,CLE,"PG,SG,Flx",1140,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Miroslav Raduljica,MIN,"C,Flx",1141,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chasson Randle,(N/A),"PG,Flx",1142,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Shavlik Randolph,DEN,"PF,Flx",1143,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Zach Randolph,DAL,"PF,C,Flx",1144,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Darius Rice,CLE,"SF,PF,Flx",1145,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Richardson,NO,"SF,PF,Flx",1146,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence Roberts,(N/A),"SF,PF,Flx",1147,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Frank Robinson,(N/A),"PG,SG,Flx",1148,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nate Robinson,NO,"PG,SG,Flx",1149,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Robinson,(N/A),"PF,C,Flx",1150,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Leon Rodgers,(N/A),"SF,PF,Flx",1151,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Magnum Rolle,(N/A),"PF,C,Flx",1152,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Rush,POR,"SG,SF,Flx",1153,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Orlando Sanchez,(N/A),"PF,Flx",1154,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Larry Sanders,CLE,"PF,C,Flx",1155,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mike Scott,(N/A),"PG,Flx",1156,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Shannon Scott,BKN,"SG,Flx",1157,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tornike Shengelia,CHI,"SF,PF,Flx",1158,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Sibert,(N/A),"SG,Flx",1159,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Silas,(N/A),"SG,Flx",1160,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
DeShawn Sims,BOS,"SF,Flx",1161,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Singler,(N/A),"SG,SF,Flx",1162,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
